"t"
"150834"
"134110"
"121007"
"107537"
"93429"
"92106"
"80828"
"80526"
"79311"
"77203"
"73058"
"69854"
"66267"
"65572"
"51718"
"51513"
"45866"
"35380"
"34128"
"31677"
"29029"
"25070"
"22916"
"17596"
"17149"
"16963"
"16474"
"16336"
"14630"
"13997"
"13754"
"11661"
"11144"
"10703"
"10406"
"9803"
"8639"
"8418"
"7308"
"7223"
"7028"
"6616"
"5269"
"4812"
"4554"
"4456"
"3906"
"3616"
"3270"
"3179"
"3014"
"2459"
"2070"
"1867"
"1200"
"1071"
"1032"
"909"
"895"
"600"
"526"
"222"
"173"
"71"
"66"
"65"
