"n","name"
"58.3333333333333333","Series 5"
"58.8333333333333333","Star Wars Clone Wars"
"59.0000000000000000","Traffic"
"59.4385964912280702","Service Packs"
"60.5000000000000000","Planet Series 4"
"61.2222222222222222","Series 2"
"62.8888888888888889","Series 7"
"63.0000000000000000","Mini"
"63.8888888888888889","Series 9"
"64.1111111111111111","Hero Factory"
"64.4444444444444444","Series 3"
"64.8181818181818182","Gravity Games"
"65.2857142857142857","Creature"
"65.3333333333333333","Series 8"
"65.5000000000000000","Farm"
"65.6923076923076923","Constraction"
"67.3720930232558140","Fairy-Tale"
"67.4166666666666667","WeDo"
"67.6666666666666667","City"
"68.5000000000000000","Construction"
"68.5384615384615385","Supplemental"
"68.6250000000000000","Construction"
"68.7352941176470588","Soccer"
"68.8571428571428571","Post Office"
"69.4000000000000000","Technic"
"69.4583333333333333","Easter"
"69.5000000000000000","Protectors"
"69.7500000000000000","Vehicle"
"70.6111111111111111","Race"
"70.6666666666666667","Airport"
"72.2500000000000000","Airport"
"72.9333333333333333","Construction"
"73.0000000000000000","Gas Station"
"74.0588235294117647","Hockey"
"75.0526315789473684","UFO"
"75.2857142857142857","Construction"
"76.0000000000000000","Star Wars"
"76.3333333333333333","Disney's Mickey Mouse"
"76.5555555555555556","Supplemental"
"76.6666666666666667","Villains"
"78.4285714285714286","Extreme Team"
"78.7857142857142857","Halloween"
"78.9230769230769231","Island Xtreme Stunts"
"79.6666666666666667","Cargo"
"79.8500000000000000","Basic Model"
"81.5263157894736842","Basic Set"
"81.6500000000000000","Recreation"
"81.9302325581395349","My Own Train"
"82.5000000000000000","Farm"
"82.8000000000000000","Seasonal"
"83.0000000000000000","Race"
"83.1666666666666667","Aquasharks"
"83.7435897435897436","Town Plan"
"84.0000000000000000","Rock Raiders"
"84.1578947368421053","Insectoids"
"84.6666666666666667","Star Wars Episode 4/5/6"
"84.7058823529411765","Mission Deep Sea"
"85.4000000000000000","Recreation"
"86.5116279069767442","Drome Racers"
"86.6666666666666667","Racers"
"87.6666666666666667","Golden Land"
"88.3333333333333333","Toa Okoto"
"88.3442622950819672","Race"
"88.4285714285714286","Traffic"
"88.5714285714285714","Construction"
"88.9642857142857143","Orient Expedition"
"89.0000000000000000","Znap"
"89.1444444444444444","LEGO Brand Store"
"89.5000000000000000","Fire"
"90.4230769230769231","Life On Mars"
"90.7931034482758621","Dimensions"
"91.3333333333333333","Hospital"
"91.3333333333333333","Valentine"
"91.4285714285714286","Blacktron II"
"91.4545454545454545","Arctic"
"92.5625000000000000","Fright Knights"
"93.2631578947368421","Dino Island"
"94.5000000000000000","Spider-Man 2"
"95.1250000000000000","Legoland"
"95.3225806451612903","Ninja"
"96.5072463768115942","Knights Kingdom II"
"96.5833333333333333","Fire"
"98.3125000000000000","Minitalia"
"100.0000000000000000","Promotional"
"100.6666666666666667","Thanksgiving"
"100.8000000000000000","Technic"
"102.0000000000000000","Hospital"
"102.0000000000000000","Star Wars Expanded Universe"
"102.4444444444444444","Creator"
"103.1428571428571429","Space Port"
"104.2857142857142857","Fire"
"106.1818181818181818","Ice Planet 2002"
"106.9615384615384615","Speedorz"
"107.6000000000000000","Outback"
"107.6250000000000000","Police"
"107.8000000000000000","Friends"
"108.2222222222222222","Hospital"
"108.3076923076923077","Desert"
"109.0000000000000000","Star Wars Episode 2"
"109.0000000000000000","Crusaders"
"109.6666666666666667","Hospital"
"111.3043478260869565","Legoland Parks"
"111.6000000000000000","Legend Beasts"
"112.8181818181818182","Supplemental"
"113.0714285714285714","Food & Drink"
"113.4285714285714286","Gas Station"
"115.0000000000000000","Star Wars Episode 8"
"115.1111111111111111","Gears"
"115.5000000000000000","Police"
"116.7303370786516854","Classic Space"
"117.3076923076923077","Traffic"
"119.7142857142857143","Brickheadz"
"121.7500000000000000","Space Police II"
"122.5000000000000000","Coast Guard"
"123.0000000000000000","Fire"
"123.5000000000000000","Gas Station"
"124.6666666666666667","Wolfpack"
"125.0000000000000000","Knights Kingdom I"
"126.5000000000000000","Bionicle"
"127.0000000000000000","Lion Knights"
"127.0000000000000000","Harbor"
"127.1333333333333333","Building Set with People"
"128.2000000000000000","Jungle"
"128.5652173913043478","Tiny Turbos"
"129.0000000000000000","Superman"
"129.0526315789473684","Futuron"
"129.5714285714285714","Hospital"
"131.2500000000000000","Building"
"131.8888888888888889","Spyrius"
"132.0000000000000000","Airjitzu"
"132.0555555555555556","Paradisa"
"132.6428571428571429","Playhouse"
"132.9615384615384615","Power Racers"
"133.0156250000000000","Traffic"
"133.6190476190476190","Building"
"134.3333333333333333","Boat"
"134.4545454545454545","Juniors"
"134.9000000000000000","Res-Q"
"134.9750000000000000","Christmas"
"137.3333333333333333","Pirates"
"137.5000000000000000","Cargo"
"137.6000000000000000","Iron Man"
"140.5000000000000000","Airport"
"140.5000000000000000","Aquanauts"
"140.5161290322580645","Fire"
"143.9285714285714286","Black Knights"
"144.0000000000000000","EV3"
"145.0000000000000000","Castle"
"145.0000000000000000","Skull Spiders"
"147.5000000000000000","Speed Slammers"
"149.2727272727272727","Justice League"
"149.4444444444444444","Royal Knights"
"149.6250000000000000","Homemaker"
"150.3333333333333333","Alpha Team"
"152.2203389830508475","City"
"152.2222222222222222","Indians"
"154.9534883720930233","Pirates I"
"155.5862068965517241","Titans"
"157.0000000000000000","Robot"
"159.3333333333333333","Classic"
"159.8888888888888889","M:Tron"
"162.5454545454545455","RCX"
"162.9180327868852459","Fire"
"163.1428571428571429","Sorcerer's Stone"
"164.4000000000000000","Castle"
"165.4285714285714286","Police"
"168.0000000000000000","Forestmen"
"169.5000000000000000","Fire"
"170.2571428571428571","Nexo Knights"
"171.5000000000000000","Jurassic Park III"
"174.1500000000000000","Station"
"174.3888888888888889","Coast Guard"
"176.6145833333333333","Friends"
"176.6666666666666667","4.5V"
"178.0000000000000000","Aquaraiders I"
"178.2941176470588235","Warriors"
"178.5384615384615385","Riding Cycle"
"179.0000000000000000","Stingrays"
"179.6666666666666667","X-Men"
"180.6250000000000000","Bricktober"
"182.0303030303030303","Police"
"183.5555555555555556","Exploriens"
"185.4615384615384615","Radio Control"
"186.4375000000000000","Spider-Man"
"187.0000000000000000","Star Wars Episode 1"
"188.4271844660194175","Police"
"189.8260869565217391","Power Miners"
"191.6250000000000000","Farm"
"193.1428571428571429","World City"
"193.8888888888888889","Time Cruisers"
"196.0000000000000000","Harbor"
"197.0434782608695652","Super Heroes"
"197.2307692307692308","Cowboys"
"198.5000000000000000","Supplemental"
"199.3783783783783784","Other"
"200.3414634146341463","Airport"
"201.9444444444444444","Harbor"
"202.0000000000000000","Harbor"
"202.6666666666666667","Coast Guard"
"203.3333333333333333","Off-Road"
"203.4000000000000000","Hydronauts"
"204.5333333333333333","Toy Story"
"204.6296296296296296","Cars"
"205.0000000000000000","Islanders"
"205.8113207547169811","Basic"
"206.8888888888888889","Pharaoh's Quest"
"208.0000000000000000","Black Falcons"
"208.3333333333333333","Launch Command"
"211.3333333333333333","Space Police I"
"213.8952879581151832","Ninjago"
"214.3333333333333333","Imperial Soldiers"
"214.9629629629629630","Disney Princess"
"215.8048780487804878","Construction"
"215.8297872340425532","Exo-Force"
"217.7272727272727273","Prisoner of Azkaban"
"219.0000000000000000","Imperial Armada"
"219.2631578947368421","Star Wars Episode 7"
"220.0714285714285714","Designer Sets"
"221.0952380952380952","Legends of Chima"
"222.3750000000000000","Coast Guard"
"224.5000000000000000","Cargo"
"224.5000000000000000","Building"
"226.6000000000000000","Alien Conquest"
"226.7916666666666667","Star Wars Other"
"227.3000000000000000","Chamber of Secrets"
"228.0434782608695652","Atlantis"
"228.9130434782608696","Classic Basic"
"230.2363636363636364","Game"
"230.8666666666666667","Marvel"
"233.7500000000000000","Cargo"
"238.0000000000000000","Boat"
"238.0000000000000000","Fusion"
"239.3333333333333333","Advent"
"240.0666666666666667","Ferries"
"240.1250000000000000","Mission Deep Freeze"
"241.3636363636363636","Harbor"
"242.5573770491803279","Freestyle"
"245.2000000000000000","Dino Attack"
"246.0000000000000000","Space Police III"
"246.7500000000000000","Spybiotics"
"249.6666666666666667","Dark Forest"
"250.0000000000000000","Train"
"250.0000000000000000","RoboForce"
"252.2750000000000000","Expert Builder"
"253.0000000000000000","Train"
"254.7777777777777778","Pirates III"
"259.1666666666666667","Jungle Rescue"
"262.4444444444444444","Divers"
"262.5988372093023256","Technic"
"267.1304347826086957","Basic Set"
"268.0000000000000000","Guardians of the Galaxy"
"271.1000000000000000","Arctic"
"272.0000000000000000","Cargo"
"272.1666666666666667","Harbor"
"273.0000000000000000","Coast Guard"
"273.4285714285714286","Universal Building Set"
"273.9130434782608696","Star Wars Episode 1"
"274.3333333333333333","Aquaraiders II"
"276.2142857142857143","Fantasy Era"
"277.2926829268292683","Factory"
"279.0000000000000000","Vehicles"
"280.4946236559139785","Batman"
"282.4411764705882353","Star Wars Episode 3"
"282.5000000000000000","Creator"
"286.1250000000000000","Pirates"
"287.7500000000000000","Kingdoms"
"290.0000000000000000","Planet Series 3"
"290.5714285714285714","Blacktron I"
"291.0000000000000000","Inventor"
"292.0000000000000000","Dino 2010"
"293.3333333333333333","The Battle of the Five Armies"
"293.5833333333333333","Town"
"294.0000000000000000","Last Crusade"
"295.4545454545454545","Pirates II"
"296.2500000000000000","World Racers"
"297.0384615384615385","Harry Potter"
"297.3750000000000000","Traffic"
"297.7654320987654321","Basic Set"
"298.4285714285714286","Classic Castle"
"300.6440677966101695","Architecture"
"302.6470588235294118","Competition"
"303.5000000000000000","The Desolation of Smaug"
"303.5862068965517241","Airport"
"303.6956521739130435","Star Wars Episode 2"
"304.8333333333333333","Scooby-Doo"
"305.1666666666666667","Hobby Sets"
"308.2333333333333333","Race"
"308.2333333333333333","Elves"
"310.0370370370370370","Avengers"
"310.0857142857142857","Star Wars"
"310.2500000000000000","The Lone Ranger"
"310.6666666666666667","Prince of Persia"
"311.6666666666666667","Robot"
"311.8000000000000000","Raiders of the Lost Ark"
"312.2500000000000000","Arctic Technic"
"312.3571428571428571","SpongeBob SquarePants"
"313.5263157894736842","Mars Mission"
"314.0000000000000000","Riding Cycle"
"314.2222222222222222","An Unexpected Journey"
"317.7142857142857143","Dino"
"319.4285714285714286","12V"
"323.3600000000000000","Star Wars Rebels"
"327.9130434782608696","Speed Champions"
"329.4000000000000000","The Fellowship of the Ring"
"335.0000000000000000","Space"
"335.0476190476190476","Teenage Mutant Ninja Turtles"
"336.9230769230769231","9V"
"337.0000000000000000","Castle"
"340.7857142857142857","Star Wars Rogue One"
"343.5714285714285714","Supplemental"
"347.2500000000000000","Kingdom of the Crystal Skull"
"349.2500000000000000","Unitron"
"350.8387096774193548","Star Wars Clone Wars"
"354.1666666666666667","Learning"
"360.2500000000000000","Speed Racer"
"361.9230769230769231","Playsets"
"364.0000000000000000","Galaxy Squad"
"364.7500000000000000","Discovery"
"367.5000000000000000","My Own Creation"
"369.1333333333333333","Monster Fighters"
"373.2000000000000000","Rahi"
"375.2000000000000000","Airport"
"382.3571428571428571","Classic"
"384.5882352941176471","Pirates of the Caribbean"
"385.0000000000000000","Track System"
"385.3333333333333333","Airport"
"388.8750000000000000","Off-Road"
"388.9545454545454545","Supplemental"
"392.0689655172413793","The LEGO Movie"
"395.0000000000000000","Skylines"
"395.5000000000000000","Angry Birds"
"398.2857142857142857","Vikings"
"400.5000000000000000","Jungle"
"404.5714285714285714","Jurassic World"
"417.8000000000000000","Goblet of Fire"
"419.8220338983050847","Star Wars Episode 4/5/6"
"420.1562500000000000","Ferrari"
"420.4666666666666667","Ultra Agents"
"429.7692307692307692","Agents"
"430.3333333333333333","Battle Vehicles"
"434.0000000000000000","NXT"
"448.0000000000000000","Temple of Doom"
"449.7500000000000000","Creature"
"469.5000000000000000","Building Set with People"
"471.0000000000000000","Castle"
