"c","n"
"White","Paradisa"
"Light Bluish Gray","Scooby-Doo"
"Red","Gears"
"Black","Master Building Academy"
"Black","Hydronauts"
"Black","Dino Attack"
"Light Gray","Bohrok-Kal"
"Black","Control Lab"
"Light Bluish Gray","Star Wars Episode 2"
"Black","Jungle"
"Red","Classic Town"
"Reddish Brown","Thanksgiving"
"Black","Titans"
"Red","Post Office"
"Black","Competition"
"Black","Imperial Soldiers"
"Red","Disney's Mickey Mouse"
"Black","Toa Inika"
"White","Town"
"Red","Basketball"
"Black","Speed Slammers"
"Chrome Silver","Aquazone"
"Red","Building Set with People"
"Black","Extreme Team"
"Black","eLAB"
"Black","Exo-Force"
"Dark Bluish Gray","The Desolation of Smaug"
"Black","Track System"
"Black","Matoran of Voya Nui"
"Light Bluish Gray","Power Functions"
"Light Bluish Gray","Prisoner of Azkaban"
"Black","Playsets"
"Light Gray","Fright Knights"
"Black","The Return of the King"
"Black","Power Miners"
"Black","Atlantis"
"Dark Pink","Golden Land"
"White","Station"
"Black","Goblet of Fire"
"Black","Arctic"
"Trans-Clear","Bricktober"
"Red","Ferrari"
"Black","Cars"
"Black","Space Police II"
"Black","Pirates I"
"Black","Series 6 Minifigures"
"Black","Pirates of the Caribbean"
"Black","Batman"
"Black","Radio Control"
"Light Gray","Classic Space"
"Black","Forestmen"
"Black","Aquaraiders II"
"Black","Space Police I"
"White","Belville"
"Black","Series 2 Minifigures"
"Light Bluish Gray","Star Wars Rogue One"
"Red","Advent Sub-Set"
"Black","Series 1 Minifigures"
"White","Universe"
"Black","Pirates"
"Red","SpongeBob SquarePants"
"Black","Race"
"Black","Series 5 Minifigures"
"White","Hospital"
"Black","Drome Racers"
"White","WeDo"
"Red","Classic Basic"
"Dark Bluish Gray","The Fellowship of the Ring"
"Black","Ultimate Collector Series"
"Tan","The Hobbit"
"Black","Robot"
"Dark Bluish Gray","Temple of Doom"
"Black","Indians"
"White","Friends"
"Black","Rahaga"
"Light Gray","RCX"
"White","Sculptures"
"Black","Cowboys"
"Black","Constraction"
"Blue","Space"
"Black","Toa Mahri"
"Black","Traffic"
"Black","Agents"
"Red","Supplemental"
"Black","Star Wars Other"
"Light Bluish Gray","Star Wars Episode 8"
"White","Creator"
"White","Food & Drink"
"Black","Orient Expedition"
"Black","Elves"
"Black","HO 1:87 Vehicles"
"White","Seasonal"
"Black","Warriors"
"Black","Series 9"
"Black","RoboForce"
"Black","Glatorian"
"Black","Train"
"Black","Off-Road"
"Light Gray","Arctic Technic"
"White","Gas Station"
"White","Gravity Games"
"Light Bluish Gray","Kingdoms"
"Black","The LEGO Movie Series"
"Black","FIRST LEGO League"
"White","Key Chain"
"Yellow","Educational and Dacta"
"Red","Advent"
"Black","Ninja"
"Black","Riding Cycle"
"Black","Imperial Armada"
"Black","X-Men"
"White","Space Port"
"Black","RC Train"
"Black","Studios"
"Black","Bohrok Va"
"Black","Harbor"
"Dark Bluish Gray","The Lord of the Rings"
"Black","Turaga"
"Tan","Fusion"
"Chrome Gold","Western "
"Black","M:Tron"
"Black","Guardians of the Galaxy"
"Red","Universal Building Set"
"Black","Factory"
"Black","Series 13 Minifigures"
"Black","Islanders"
"Light Bluish Gray","Star Wars Clone Wars"
"Black","Series 17 Minifigures"
"Black","Spybiotics"
"Black","9V"
"White","Playhouse"
"Dark Bluish Gray","Jurassic World"
"Black","Hockey"
"Light Bluish Gray","Star Wars Episode 4/5/6"
"Black","Speed Racer"
"Black","Halloween"
"Dark Bluish Gray","Prince of Persia"
"White","Fairy-Tale"
"Black","Legends of Chima"
